,train_acc,val_acc,test_acc
0-PROTEINS,0.6551724137931034,0.7272727272727273,0.7272727272727273
1-PROTEINS,0.7472527472527473,0.5454545454545454,0.5833333333333334
2-PROTEINS,0.7625,0.7,0.7272727272727273
3-PROTEINS,0.6224489795918368,0.8333333333333334,0.7692307692307693
4-PROTEINS,0.7058823529411765,0.6363636363636364,0.8181818181818182
5-PROTEINS,0.7840909090909091,0.8181818181818182,0.8333333333333334
6-PROTEINS,0.7058823529411765,0.6363636363636364,0.7272727272727273
7-PROTEINS,0.6470588235294118,0.6923076923076923,0.7692307692307693
8-PROTEINS,0.6951219512195121,0.8,0.5454545454545454
9-PROTEINS,0.6136363636363636,0.5454545454545454,0.6363636363636364
