,#graphs_train,avgNodes_train,avgEdges_train,#graphs_val,avgNodes_val,avgEdges_val,#graphs_test,avgNodes_test,avgEdges_test
0-PROTEINS,87.0,38.89655172413793,75.72413793103448,11.0,52.72727272727273,88.0909090909091,11.0,33.18181818181818,63.27272727272727
1-PROTEINS,91.0,41.21978021978022,75.6923076923077,11.0,44.90909090909091,80.72727272727273,12.0,19.083333333333332,36.083333333333336
2-PROTEINS,80.0,39.025,71.5,10.0,43.9,82.8,11.0,26.727272727272727,52.18181818181818
3-PROTEINS,98.0,42.775510204081634,81.07142857142857,12.0,51.666666666666664,90.41666666666667,13.0,47.15384615384615,91.84615384615384
4-PROTEINS,85.0,39.94117647058823,73.43529411764706,11.0,35.18181818181818,64.81818181818181,11.0,52.72727272727273,97.0909090909091
5-PROTEINS,88.0,38.06818181818182,73.20454545454545,11.0,34.36363636363637,63.81818181818182,12.0,53.083333333333336,93.58333333333333
6-PROTEINS,85.0,41.752941176470586,77.7764705882353,11.0,48.09090909090909,84.81818181818181,11.0,28.09090909090909,53.09090909090909
7-PROTEINS,102.0,30.980392156862745,57.53921568627451,13.0,43.53846153846154,84.46153846153847,13.0,32.76923076923077,63.61538461538461
8-PROTEINS,82.0,35.46341463414634,62.75609756097561,10.0,37.4,67.3,11.0,32.54545454545455,64.81818181818181
9-PROTEINS,88.0,36.68181818181818,69.23863636363636,11.0,38.63636363636363,75.27272727272727,11.0,75.36363636363636,142.8181818181818
