,train_acc,val_acc,test_acc
MUTAG,0.7933333333333333,0.8421052631578947,0.8421052631578947
BZR,0.7870370370370371,0.875,0.7804878048780488
COX2,0.7828418230563002,0.7659574468085106,0.7872340425531915
DHFR,0.609271523178808,0.618421052631579,0.6052631578947368
PTC_MR,0.5636363636363636,0.5588235294117647,0.5714285714285714
AIDS,0.99625,0.995,0.995
NCI1,0.7277980535279805,0.7688564476885644,0.7299270072992701
ENZYMES,0.32916666666666666,0.35,0.45
DD,0.802547770700637,0.7542372881355932,0.711864406779661
PROTEINS,0.749438202247191,0.8288288288288288,0.6964285714285714
COLLAB,0.8165,0.786,0.796
IMDB-BINARY,0.79125,0.75,0.72
IMDB-MULTI,0.5433333333333333,0.5466666666666666,0.46
