,train_acc,val_acc,test_acc
0-IMDB-BINARY,0.8461538461538461,0.5,0.8
1-IMDB-BINARY,0.7261904761904762,0.45454545454545453,0.9090909090909091
2-IMDB-BINARY,0.8082191780821918,0.4444444444444444,0.6
3-IMDB-BINARY,0.7865168539325843,0.5454545454545454,0.8333333333333334
4-IMDB-BINARY,0.7307692307692307,0.7,0.4
5-IMDB-BINARY,0.7631578947368421,0.8888888888888888,0.6
6-IMDB-BINARY,0.8133333333333334,0.4444444444444444,0.8
7-IMDB-BINARY,0.7934782608695652,1.0,0.75
8-IMDB-BINARY,0.8243243243243243,0.6666666666666666,1.0
9-IMDB-BINARY,0.8831168831168831,0.5,0.9
