,#graphs_train,avgNodes_train,avgEdges_train,#graphs_val,avgNodes_val,avgEdges_val,#graphs_test,avgNodes_test,avgEdges_test
0-IMDB-BINARY,78.0,20.05128205128205,97.35897435897436,10.0,19.9,73.6,10.0,24.2,206.9
1-IMDB-BINARY,84.0,19.273809523809526,91.61904761904762,11.0,16.727272727272727,89.36363636363636,11.0,21.636363636363637,144.9090909090909
2-IMDB-BINARY,73.0,19.684931506849313,94.28767123287672,9.0,18.22222222222222,95.44444444444444,10.0,24.3,140.2
3-IMDB-BINARY,89.0,20.01123595505618,95.69662921348315,11.0,15.0,48.18181818181818,12.0,22.666666666666668,96.5
4-IMDB-BINARY,78.0,19.641025641025642,102.84615384615384,10.0,23.8,83.4,10.0,19.0,71.1
5-IMDB-BINARY,76.0,19.157894736842106,91.34210526315789,9.0,17.77777777777778,77.88888888888889,10.0,17.6,68.4
6-IMDB-BINARY,75.0,18.14666666666667,83.34666666666666,9.0,20.333333333333332,74.22222222222223,10.0,16.4,58.1
7-IMDB-BINARY,92.0,18.52173913043478,81.15217391304348,11.0,19.0,70.81818181818181,12.0,21.416666666666668,86.91666666666667
8-IMDB-BINARY,74.0,20.094594594594593,112.20270270270271,9.0,26.88888888888889,90.0,10.0,22.1,142.5
9-IMDB-BINARY,77.0,20.545454545454547,104.37662337662337,10.0,18.0,94.2,10.0,32.3,231.1
