,test_acc
0-NCI1,0.9230769230769231
1-NCI1,0.42857142857142855
2-NCI1,0.6666666666666666
3-NCI1,0.8666666666666667
4-NCI1,0.5714285714285714
5-NCI1,0.7857142857142857
6-NCI1,0.7142857142857143
7-NCI1,0.6666666666666666
8-NCI1,0.6428571428571429
9-NCI1,0.5384615384615384
10-NCI1,0.6923076923076923
11-NCI1,0.6923076923076923
12-NCI1,0.7692307692307693
13-NCI1,0.5333333333333333
14-NCI1,0.875
15-NCI1,0.5714285714285714
16-NCI1,0.6
17-NCI1,0.6666666666666666
18-NCI1,0.8333333333333334
19-NCI1,0.5714285714285714
20-NCI1,0.6875
21-NCI1,0.5
22-NCI1,0.5714285714285714
23-NCI1,0.6
24-NCI1,0.35714285714285715
25-NCI1,0.6666666666666666
26-NCI1,0.5333333333333333
27-NCI1,0.5294117647058824
28-NCI1,0.8461538461538461
29-NCI1,0.6923076923076923
