,test_acc
0-NCI1,0.9230769230769231
1-NCI1,0.42857142857142855
2-NCI1,0.7333333333333333
3-NCI1,0.8666666666666667
4-NCI1,0.5714285714285714
5-NCI1,0.7857142857142857
6-NCI1,0.6428571428571429
7-NCI1,0.6666666666666666
8-NCI1,0.7142857142857143
9-NCI1,0.5384615384615384
10-NCI1,0.9230769230769231
11-NCI1,0.6153846153846154
12-NCI1,0.7692307692307693
13-NCI1,0.5333333333333333
14-NCI1,0.8125
15-NCI1,0.6428571428571429
16-NCI1,0.6
17-NCI1,0.6
18-NCI1,0.8333333333333334
19-NCI1,0.5714285714285714
20-NCI1,0.6875
21-NCI1,0.5
22-NCI1,0.7142857142857143
23-NCI1,0.6
24-NCI1,0.5
25-NCI1,0.6
26-NCI1,0.6
27-NCI1,0.5882352941176471
28-NCI1,0.6923076923076923
29-NCI1,0.6153846153846154
