,test_acc
0-NCI1,0.9230769230769231
1-NCI1,0.5714285714285714
2-NCI1,0.8666666666666667
3-NCI1,0.8666666666666667
4-NCI1,0.7142857142857143
5-NCI1,0.7142857142857143
6-NCI1,0.7142857142857143
7-NCI1,0.9333333333333333
8-NCI1,0.7142857142857143
9-NCI1,0.6923076923076923
10-NCI1,0.9230769230769231
11-NCI1,0.7692307692307693
12-NCI1,0.6923076923076923
13-NCI1,0.6
14-NCI1,0.875
15-NCI1,0.7142857142857143
16-NCI1,0.6
17-NCI1,0.6
18-NCI1,0.75
19-NCI1,0.8571428571428571
20-NCI1,0.8125
21-NCI1,0.5
22-NCI1,0.8571428571428571
23-NCI1,0.7333333333333333
24-NCI1,0.42857142857142855
25-NCI1,0.6666666666666666
26-NCI1,0.9333333333333333
27-NCI1,0.5294117647058824
28-NCI1,0.9230769230769231
29-NCI1,0.6923076923076923
