,train_acc,val_acc,test_acc
0-NCI1,0.5825242718446602,0.6923076923076923,0.9230769230769231
1-NCI1,0.5321100917431193,0.6428571428571429,0.42857142857142855
2-NCI1,0.5169491525423728,0.7333333333333333,0.6666666666666666
3-NCI1,0.6106194690265486,0.6428571428571429,0.7333333333333333
4-NCI1,0.5288461538461539,0.38461538461538464,0.5714285714285714
5-NCI1,0.5925925925925926,0.5384615384615384,0.5714285714285714
6-NCI1,0.4864864864864865,0.5714285714285714,0.5714285714285714
7-NCI1,0.6902654867256637,0.7142857142857143,0.7333333333333333
8-NCI1,0.5865384615384616,0.6153846153846154,0.5714285714285714
9-NCI1,0.6565656565656566,0.75,0.6923076923076923
10-NCI1,0.5242718446601942,0.5384615384615384,0.46153846153846156
11-NCI1,0.5510204081632653,0.5,0.5384615384615384
12-NCI1,0.6288659793814433,0.5833333333333334,0.6923076923076923
13-NCI1,0.5130434782608696,0.5,0.4666666666666667
14-NCI1,0.7024793388429752,0.5333333333333333,0.75
15-NCI1,0.4954128440366973,0.5,0.42857142857142855
16-NCI1,0.6460176991150443,0.5714285714285714,0.5333333333333333
17-NCI1,0.5,0.42857142857142855,0.7333333333333333
18-NCI1,0.6086956521739131,0.3333333333333333,0.75
19-NCI1,0.5636363636363636,0.5,0.5714285714285714
20-NCI1,0.5655737704918032,0.5333333333333333,0.625
21-NCI1,0.5370370370370371,0.5714285714285714,0.5
22-NCI1,0.5047619047619047,0.5384615384615384,0.6428571428571429
23-NCI1,0.5555555555555556,0.5333333333333333,0.6
24-NCI1,0.6728971962616822,0.38461538461538464,0.42857142857142855
25-NCI1,0.6106194690265486,0.5,0.6
26-NCI1,0.5254237288135594,0.5333333333333333,0.4666666666666667
27-NCI1,0.5348837209302325,0.5625,0.5294117647058824
28-NCI1,0.46938775510204084,0.5,0.46153846153846156
29-NCI1,0.5825242718446602,0.5384615384615384,0.6153846153846154
