,#graphs_train,avgNodes_train,avgEdges_train,#graphs_val,avgNodes_val,avgEdges_val,#graphs_test,avgNodes_test,avgEdges_test
0-NCI1,103.0,29.398058252427184,31.718446601941746,13.0,35.07692307692308,38.76923076923077,13.0,31.846153846153847,34.92307692307692
1-NCI1,109.0,31.137614678899084,33.41284403669725,14.0,31.714285714285715,34.357142857142854,14.0,29.928571428571427,32.785714285714285
2-NCI1,118.0,28.296610169491526,30.889830508474578,15.0,38.8,41.93333333333333,15.0,33.13333333333333,36.0
3-NCI1,113.0,31.327433628318584,34.1858407079646,14.0,35.285714285714285,38.07142857142857,15.0,30.066666666666666,33.53333333333333
4-NCI1,104.0,31.576923076923077,34.24038461538461,13.0,26.53846153846154,28.53846153846154,14.0,32.92857142857143,34.214285714285715
5-NCI1,108.0,30.36111111111111,32.7037037037037,13.0,32.23076923076923,34.92307692307692,14.0,29.357142857142858,31.714285714285715
6-NCI1,111.0,30.44144144144144,32.9009009009009,14.0,32.42857142857143,34.642857142857146,14.0,29.357142857142858,31.357142857142858
7-NCI1,113.0,30.24778761061947,32.991150442477874,14.0,30.642857142857142,33.285714285714285,15.0,30.4,32.733333333333334
8-NCI1,104.0,31.23076923076923,33.81730769230769,13.0,25.923076923076923,27.307692307692307,14.0,30.142857142857142,33.142857142857146
9-NCI1,99.0,29.464646464646464,31.585858585858585,12.0,23.666666666666668,25.666666666666668,13.0,24.307692307692307,26.076923076923077
10-NCI1,103.0,28.864077669902912,31.24271844660194,13.0,26.0,28.307692307692307,13.0,27.46153846153846,29.153846153846153
11-NCI1,98.0,29.071428571428573,31.275510204081634,12.0,26.166666666666668,27.416666666666668,13.0,34.15384615384615,37.46153846153846
12-NCI1,97.0,30.855670103092784,33.381443298969074,12.0,32.416666666666664,35.0,13.0,33.92307692307692,37.46153846153846
13-NCI1,115.0,29.721739130434784,32.2,14.0,26.0,28.142857142857142,15.0,22.8,25.0
14-NCI1,121.0,28.56198347107438,30.884297520661157,15.0,30.266666666666666,32.86666666666667,16.0,34.8125,37.125
15-NCI1,109.0,28.53211009174312,30.779816513761467,14.0,25.642857142857142,28.428571428571427,14.0,26.785714285714285,28.357142857142858
16-NCI1,113.0,31.97345132743363,34.53982300884956,14.0,30.928571428571427,33.5,15.0,28.066666666666666,30.666666666666668
17-NCI1,114.0,29.55263157894737,32.06140350877193,14.0,25.714285714285715,28.0,15.0,27.2,30.0
18-NCI1,92.0,29.5,31.717391304347824,12.0,32.416666666666664,35.25,12.0,27.166666666666668,29.166666666666668
19-NCI1,110.0,31.118181818181817,33.763636363636365,14.0,30.785714285714285,33.07142857142857,14.0,33.92857142857143,36.714285714285715
20-NCI1,122.0,30.762295081967213,33.17213114754098,15.0,37.86666666666667,41.266666666666666,16.0,32.25,35.25
21-NCI1,108.0,31.935185185185187,34.611111111111114,14.0,40.5,44.214285714285715,14.0,32.92857142857143,36.214285714285715
22-NCI1,105.0,29.36190476190476,31.485714285714284,13.0,29.923076923076923,32.38461538461539,14.0,30.785714285714285,33.42857142857143
23-NCI1,117.0,28.273504273504273,30.307692307692307,15.0,23.6,26.0,15.0,29.533333333333335,31.6
24-NCI1,107.0,28.869158878504674,31.27102803738318,13.0,25.923076923076923,28.23076923076923,14.0,24.357142857142858,25.857142857142858
25-NCI1,113.0,28.141592920353983,30.690265486725664,14.0,31.285714285714285,32.714285714285715,15.0,28.933333333333334,31.933333333333334
26-NCI1,118.0,30.694915254237287,33.02542372881356,15.0,33.86666666666667,35.666666666666664,15.0,28.933333333333334,31.466666666666665
27-NCI1,129.0,27.643410852713178,29.7984496124031,16.0,27.3125,29.625,17.0,34.76470588235294,38.294117647058826
28-NCI1,98.0,29.0,31.336734693877553,12.0,27.5,28.5,13.0,35.38461538461539,37.84615384615385
29-NCI1,103.0,27.398058252427184,29.83495145631068,13.0,29.46153846153846,32.46153846153846,13.0,29.846153846153847,32.38461538461539
